#,City,ST,Type,Budget Range,Monthly Est,Median Home,D1 Airport,D2 Budget,D3 Health,D5 Tax,D6 Walk,D7 Outdoor,D8 Wellness,D9 Safety,D10 Comm.,Climate Warm W,Climate Hot Sum,Climate Mild YR,Setting,Character,Highlight,HUM (0-10),HEAT (0-10),PropTax Rate %,HO Insur Est $/yr,Ins Variance Note,D4 Resil.,D4 Resil. Rationale
65,Hilton Head,SC,Resort / Golf,3,"$6,600–$8,200/mo","$705,000",6,4,7,7,4,6,8,5,7,7,5,3,Beach / Coastal,Resort / Golf,"Classic resort island retirement — Harbour Town Golf Links, pristine Atlantic beaches, world-class golf. Quieter and more exclusive than Florida peers.",9,6,0.49,2974,Coastal above state avg,3,Barrier-island hurricane + surge exposure
66,Sioux Falls,SD,Small Metro / Plains,1,"$4,900–$6,100/mo","$314,000",6,8,8,10,3,5,7,8,7,1,5,3,Forest / Green,"Quiet & Residential, Nature-Centric","No South Dakota state income tax — zero on Social Security, 401k, IRA, pension, everything. Sanford Health nationally recognized. Forbes Top 25 cities to retire. Median home $285K. Very safe. The trade is brutal winters — January average 16°F. For tax-motivated retirees who can handle cold, Sioux Falls delivers extraordinary financial value.",6,5,1.0,3760,,7,Hail/severe weather; no defining catastrophic peril
67,Chattanooga,TN,Outdoor / Mid-size,1,"$4,600–$5,800/mo","$328,000",5,9,8,10,6,8,6,4,7,5,6,4,"Mountain, Lakeside","Urban Neighborhood, Quiet & Residential, Nature-Centric",Best value city in the Southeast. No Tennessee income tax. CHI Memorial Best Regional Hospital 11 straight years. Stunning Tennessee River setting.,8,7,0.52,2958,,6,"Flooding + tornado; Appalachian, Helene-region edge"
68,Johnson City,TN,Mountain / Affordable,1,"$4,400–$5,400/mo","$264,000",5,9,3,8,4,8,6,6,6,5,7,5,Lakeside,"Historic, Nature-Centric",Most affordable city in the database at Range 1. No Tennessee income tax. Appalachian Trail access. Beautiful mountain setting. Hospital quality is the key concern.,7,5,0.52,2958,,5,Far-E TN; severe Helene-related flooding nearby (2024)
69,Knoxville,TN,College / Outdoor,1,"$4,900–$6,100/mo","$368,000",6,8,8,9,5,8,7,7,8,5,6,4,"Mountain, Lakeside","College Town, Urban Neighborhood, Nature-Centric",No Tennessee income tax. University of Tennessee energy. Great Smoky Mountains 30 min. Underrated city with strong hospital system and exceptional value.,8,7,0.52,2958,,6,Flooding + tornado; Helene-region edge
70,Memphis,TN,Urban / Cultural,1,"$4,100–$5,100/mo","$195,000",8,7,9,9,5,3,4,7,7,5,8,5,"Urban / Metro, Forest / Green","Urban Neighborhood, Arts & Culture, Historic","The birthplace of blues, rock and roll, and soul food — Memphis has one of the richest cultural identities in America, world-class healthcare in St. Jude and Methodist hospitals. Citywide median home $170K but retirees target Germantown, Collierville, East Memphis, and Bartlett ($280K–$500K).",9,8,0.52,2958,,4,New Madrid seismic zone + Mississippi flooding + tornado + heat
71,Nashville,TN,Metro / Music City,2,"$5,400–$6,700/mo","$460,000",9,5,9,9,5,6,7,5,9,6,5,7,"Urban / Metro, Forest / Green","Arts & Culture, Urban Neighborhood, Historic","Music City's secret weapon: Vanderbilt UIMC — #1 hospital in Tennessee, nationally ranked in 6 specialties. BNA airport 8 miles, 108 domestic routes. No state income tax. World-class food, music, and culture. Getting expensive but still compelling.",8,7,0.52,2958,,6,Flooding (2010/2021) + tornado (2020) + heat
72,Corpus Christi,TX,Beach / Affordable,1,"$4,600–$5,700/mo","$219,000",3,9,5,9,3,5,4,4,5,8,4,3,Beach / Coastal,Quiet & Residential,Most affordable Gulf Coast beach city in the database. No Texas income tax. Year-round warm weather. Padre Island National Seashore.,9,7,1.4,4085,Gulf coast far above state avg,2,Gulf hurricane + surge + high coastal insurance
73,Fort Worth,TX,City / Western,2,"$5,000–$6,200/mo","$300,000",10,7,8,8,5,4,6,6,7,6,3,4,Urban / Metro,"Historic, Arts & Culture",Perfect 10 airport — DFW is a major American hub. Genuine Western character. World-class Kimbell Art Museum. No Texas income tax. Affordable.,7,9,1.4,4085,Gulf coast far above state avg,5,Tornado Alley fringe + severe hail + heat; elevated but available insurance
74,Georgetown,TX,Active Adult / Suburban,3,"$5,900–$7,300/mo","$457,000",7,6,6,9,5,5,10,9,7,7,3,4,Forest / Green,Quiet & Residential,"Sun City Texas — 86,000 sq ft amenity center, 3 golf courses, 100+ clubs, Senior University. 85th percentile safety. No Texas income tax. AUS airport 35 min.",7,9,1.4,4085,Gulf coast far above state avg,5,Central-TX severe storms/hail + heat
75,San Antonio,TX,City / Historic,2,"$5,100–$6,400/mo","$320,000",9,6,8,9,5,5,6,7,8,7,3,4,Forest / Green,"Historic, Arts & Culture","No Texas income tax. SAT airport excellent. River Walk, the Alamo, world-class Mexican food culture. Citywide median home $260K but retirees target Stone Oak, Alamo Heights, Terrell Hills, and Olmos Park ($475K–$900K).",8,9,1.4,4085,Gulf coast far above state avg,5,Flash flooding + hail + heat
76,Frisco,TX,Master-Planned Suburb,4,"$7,200–$8,900/mo","$674,000",9,4,8,8,3,4,8,8,7,6,3,4,Urban / Metro,"Quiet & Residential, Resort / Golf","Sports City USA — PGA of America headquarters, the Dallas Cowboys' Star campus, and FC Dallas in one master-built suburb. DFW hub about 30 minutes. No Texas income tax. One of America's safest large cities for its size.",7,9,1.4,4085,Gulf coast far above state avg,5,N-TX hail/tornado + heat
77,Park City,UT,Mountain / Resort Town,5,"$10,600–$13,200/mo","$1,522,000",8,1,7,4,6,10,9,7,7,2,9,9,Mountain,"Historic, Resort / Golf, Arts & Culture, Nature-Centric","Two world-class ski resorts, SLC airport 35 minutes away, and elite wellness infrastructure — the premium mountain resort retirement destination in the West.",3,3,0.48,1814,,6,Mountain wildfire + water + moderate Wasatch seismic
78,St. George,UT,Desert / Outdoor,2,"$5,700–$7,100/mo","$507,000",5,4,10,5,3,10,9,7,6,6,2,9,Desert,"Resort / Golf, Nature-Centric","Perfect 10 outdoor recreation — Zion 45 min, Bryce Canyon 90 min, Snow Canyon in city limits. Intermountain Health #2 in Utah with A Leapfrog grade.",2,9,0.48,1814,,5,Desert extreme heat + water scarcity + some fire
79,Alexandria,VA,Historic / Urban / Waterfront,3,"$6,400–$7,900/mo","$673,000",9,3,9,6,9,5,6,5,8,6,7,6,"Beach / Coastal, Urban / Metro","Historic, Arts & Culture, Urban Neighborhood, Nature-Centric","Historic Old Town walkable with 5 Metro stations — Reagan National 15 min by Metro. Inova Alexandria Hospital Leapfrog A, US News #7 in DC metro.",8,6,0.78,2074,,7,"Potomac/tidal flood pockets; low catastrophic, DC metro"
80,Charlottesville,VA,College / Historic,2,"$5,500–$6,800/mo","$465,000",4,4,9,6,7,8,5,7,8,5,6,5,Lakeside,"Historic, Arts & Culture, Nature-Centric","UVA Health excellent — Level I trauma, nationally ranked. Monticello, Blue Ridge Parkway, Shenandoah all within reach. Exceptional intellectual and arts community.",7,6,0.78,2074,,7,Inland Piedmont; low exposure
81,Roanoke,VA,Blue Ridge Mountain City,1,"$4,400–$5,400/mo","$251,000",5,8,7,5,6,8,7,7,7,4,7,5,"Mountain, Forest / Green","Arts & Culture, Nature-Centric, Historic","Tucked into the Blue Ridge Mountains with the Appalachian Trail and Blue Ridge Parkway in its backyard — Roanoke combines genuine mountain access, Carilion’s strong regional healthcare, a growing arts scene, and median homes under $230K.",7,6,0.78,2074,,7,"Blue Ridge valley; low catastrophic, some flooding"
82,Virginia Beach,VA,Beach / Metro,2,"$5,300–$6,600/mo","$417,000",7,6,8,7,4,7,7,6,7,5,6,4,Beach / Coastal,"Resort / Golf, Quiet & Residential",35 miles of Atlantic beach. Sentara Healthcare strong regional system. More affordable than comparable Florida beach cities.,8,6,0.78,2074,,4,Coastal hurricane + surge + recurrent tidal flooding + sea-level rise
83,Spokane,WA,Inland / Outdoor,2,"$5,300–$6,600/mo","$404,000",7,8,8,9,6,7,6,3,7,3,7,8,"Mountain, Lakeside","Historic, Arts & Culture, Nature-Centric",No Washington income tax. Providence Sacred Heart excellent hospital. Affordable Pacific Northwest living far from Seattle prices. Outdoor recreation strong.,4,6,0.75,1753,,5,Wildfire + smoke (eastern WA)
84,Madison,WI,College Town / Lakes,2,"$5,400–$6,700/mo","$413,000",6,6,8,5,5,7,7,6,8,2,7,5,Lakeside,"College Town, Arts & Culture, Nature-Centric",University of Wisconsin drives exceptional culture between two beautiful lakes. UW Health nationally ranked. State Capitol energy. Real winters.,6,5,1.32,1812,,8,Severe storms only; low catastrophic exposure
85,Casper,WY,Small City / Outdoor,1,"$4,600–$5,700/mo","$273,000",4,9,6,10,3,8,6,8,6,2,5,4,"Mountain, Forest / Green","Quiet & Residential, Nature-Centric","Wyoming ranked #1 retirement destination for affordability and open spaces (Cowboy State Daily, 2026). No Wyoming state income tax — zero on everything. Median home $275K. Platte River Trails, Casper Mountain, wild horses nearby. Wyoming Medical Center adequate regional hub. Best value for outdoor-oriented, tax-motivated retirees who embrace small-town life.",3,6,0.53,2075,,7,"High-plains wind/severe weather; low catastrophic, low density"
86,Jackson Hole,WY,Mountain / Luxury,5,"$12,200–$15,200/mo","$1,851,000",8,1,4,10,7,10,7,8,7,2,8,9,"Mountain, Lakeside","Historic, Arts & Culture, Nature-Centric",Perfect 10 outdoor recreation. No Wyoming income tax. Grand Teton and Yellowstone in your backyard. The most dramatic setting in the database. Extremely expensive.,3,3,0.53,2075,,6,Mountain wildfire + Teton seismic + remoteness; low insurance stress
87,Iowa City,IA,College Town / University Hub,1,"$4,600–$5,800/mo","$284,000",5,7,9,8,7,5,5,7,7,2,6,3,Forest / Green,"College Town, Urban Neighborhood, Arts & Culture","University of Iowa Hospitals — #1 in Iowa, nationally ranked in 4 specialties including ophthalmology #6. Iowa eliminated state tax on retirement income in 2023. Iowa Writers' Workshop and a deep arts culture punch well above the city's size.",7,6,1.33,2902,,7,Severe storms + river flooding
88,Eureka Springs,AR,Mountain Arts Town,1,"$4,600–$5,700/mo","$315,000",4,6,4,7,6,7,4,6,7,4,5,3,Mountain,"Quiet & Residential, Arts & Culture, Historic","Often called ""the gayest small town in America"" — Eureka Springs has a 30%+ LGBTQ+ population, three Diversity Weekends per year, and a month-long May arts festival. Victorian historic district, Ozark spa heritage, Buffalo River nearby.",7,6,0.56,3733,,6,Ozarks severe storms; low overall
89,Miami,FL,Major Metro / Beach,3,"$6,400–$8,000/mo","$575,000",10,2,9,10,7,6,7,7,10,10,2,1,"Beach / Coastal, Urban / Metro","Urban Neighborhood, Arts & Culture","The only city in the database with all four major pro sports leagues. UM-Sylvester (NCI-designated cancer center), Jackson Memorial, Mount Sinai. Citywide median home $430K but retirees target Coral Gables, Coconut Grove, Key Biscayne, Aventura, Pinecrest ($592K–$2.25M). World-class culture, no state tax.",10,7,0.78,7136,Coastal far above state avg; inland below,2,Hurricane + surge + sea-level rise; Florida's high-cost insurance market
90,La Crosse,WI,River City / College Town,1,"$4,500–$5,500/mo","$243,000",4,8,9,6,5,8,6,5,6,2,6,4,"Forest / Green, Lakeside","Nature-Centric, College Town, Quiet & Residential","Two top-tier teaching hospitals in a city of 50K — Gundersen Health and Mayo Clinic Health System. Driftless Region bluffs (Grandad Bluff, Hixon Forest 10 mi of trails) make this a rare Midwest hiking destination. Median home $258K.",6,6,1.32,1812,,7,Mississippi River flooding; otherwise low
91,Pinehurst,NC,Resort / Golf,3,"$5,900–$7,300/mo","$542,000",5,4,8,6,5,6,9,9,7,7,5,4,Forest / Green,"Resort / Golf, Quiet & Residential","Home of American Golf — Pinehurst Resort with 10 courses including #2 (Donald Ross masterpiece, US Open anchor site). 16 of NC's Top 100 courses in Pinehurst/Southern Pines. Already a retirement community: median age 60.6, 39% age 65+. Crime extraordinarily low.",8,7,0.66,3124,Coastal above state avg,7,Sandhills inland; low exposure
92,Bentonville,AR,Small City / Cultural / Ozarks,2,"$5,500–$6,900/mo","$488,000",6,6,7,7,5,8,7,8,8,4,3,6,Forest / Green,"Arts & Culture, Nature-Centric, Historic","Self-proclaimed Mountain Biking Capital of the World — 130+ miles of singletrack connected to downtown, IMBA Silver Ride Center. Crystal Bridges Museum (free, world-class American art) anchors a downtown that punches well above its size. Two James Beard 2025 finalists for Best Chef: South — only city in the category with two. Strong regional healthcare. Bella Vista 12 min north is the affordable retiree pick. Median home $300K–$500K (Bentonville $400K–$490K, Bella Vista ~$300K).",7,7,0.56,3733,,6,NW-AR tornado/severe storms
93,Boulder,CO,College Town / Mountain / Outdoor,4,"$8,000–$9,900/mo","$964,000",8,3,7,7,8,10,8,7,9,5,7,9,"Mountain, Forest / Green","Nature-Centric, Arts & Culture, College Town","AARP Top 100 Place to Live for Older Adults (2025) — #6 mid-sized. Premier outdoor city in America — 300+ trail miles, 45,000 acres of community-funded protected Open Space (since 1967), the Flatirons. Pearl Street pedestrian mall, vibrant cultural and food scene, 300+ days of sunshine. Expensive ($800K–$1M median, COL 29% above national) but exceptional for active retirees who can afford it.",3,4,0.5,4963,Wildfire/foothill zones above avg,4,"Marshall Fire (1,000+ homes) + hail + wildfire-urban interface"
94,Salt Lake City,UT,Major Metro / Mountain,2,"$5,700–$7,100/mo","$525,000",10,4,10,5,6,10,7,7,8,3,5,9,"Mountain, Urban / Metro","Nature-Centric, Arts & Culture, Historic","Major Delta hub at the city's edge, 11 ski resorts within an hour, University of Utah Hospital #1 in Utah for 12 years running. Wasatch Front trails immediately accessible from the Avenues and East Bench. Winter air-quality inversions and Utah's tax on Social Security are the genuine tradeoffs.",3,7,0.48,1814,,6,Wasatch Fault earthquake risk + air-quality inversions + water/drought
95,New Orleans,LA,Major Metro / Historic / Cultural,1,"$4,300–$5,400/mo","$250,000",8,5,9,7,8,5,6,5,10,8,2,1,"Urban / Metro, Lakeside","Historic, Arts & Culture, Live Music","Cultural capital of the South — James Beard-tier dining, Mardi Gras, Jazz Fest, signature music scene. Ochsner #1 in Louisiana for 14 years running with geriatrics in nation's top 10%. Louisiana exempts Social Security and most pensions. Citywide median $267K but retirees target Garden District ($764K), Uptown, Lakeview, Metairie, Mandeville ($400K–$700K). Hurricane risk and citywide crime are the trade-offs.",10,8,0.55,5986,Coastal well above avg; flood insurance separate,1,Hurricane + flooding + subsidence + levee dependence + insurance crisis
96,Tulsa,OK,Major Metro / Cultural / Plains,1,"$4,200–$5,300/mo","$194,000",7,7,8,7,5,5,6,7,8,5,3,5,"Urban / Metro, Forest / Green","Arts & Culture, Live Music, Historic","Tulsa Arts District punches well above its size — Bob Dylan Center, Woody Guthrie Center, Philbrook Museum, plus the $465M Gathering Place (USA Today's ""Best City Park""). Saint Francis Hospital #1 in Oklahoma with 19 high-performing procedures. Cost of living index ~85, one of the lowest nationally. Citywide median $245K but target neighborhoods (Brookside, Maple Ridge, South Tulsa, Bixby, Jenks) range $300K–$500K. Tornado risk and citywide crime are the trade-offs.",7,8,0.79,5010,,4,"Tornado Alley — tornado, giant hail, ice storms"
97,Burlington,VT,College Town / Lakeside / Outdoor,3,"$6,000–$7,400/mo","$506,000",6,5,8,3,7,9,7,7,8,3,9,5,"Lakeside, Mountain","College Town, Nature-Centric, Arts & Culture","Vermont's largest city — UVM and Champlain College anchor a walkable downtown with the Church Street Marketplace, Flynn Center for the Performing Arts, and signature New England food and craft beer culture. Lake Champlain on one side, the Green Mountains on the other, and four world-class ski resorts (Stowe, Sugarbush, Mad River Glen, Smuggler's Notch) within 45 minutes. UVM Medical Center is Vermont's only Level 1 Trauma Center and a Healthgrades America's 250 Best Hospital 2026. Vermont taxes Social Security and most retirement income with high property tax (1.42% effective) — among the worst tax-friendliness in the database. Citywide crime high (F-grade) but retiree-target areas (South Burlington, Shelburne, Williston, Hill Section) sit 75–95th percentile.",6,4,1.51,1063,,7,Catastrophic July-2023 flooding; otherwise low exposure
98,Traverse City,MI,Resort / Lakeside / Wine Country,2,"$5,300–$6,600/mo","$420,000",6,5,8,7,6,8,7,8,8,3,9,4,"Lakeside, Forest / Green","Nature-Centric, Resort / Golf, Arts & Culture","Voted ""Most Beautiful Place in America"" by Good Morning America (2011), Traverse City sits at the head of Grand Traverse Bay surrounded by 39 wineries on Old Mission and Leelanau Peninsulas (USA Today's #2 wine region 2022 & 2023), Sleeping Bear Dunes National Lakeshore, and the world-class Interlochen Center for the Arts. Munson Medical Center #8 in Michigan with 18 high-performing procedures. Michigan completed its retirement tax repeal in 2026 — Social Security exempt, $132K joint retirement income deduction, flat 4.05%. 80"" of annual snow and limited winter daylight are the trade-offs; many local retirees are snowbirds.",6,4,1.19,2924,,9,Great Lakes; minimal catastrophic exposure
99,Provincetown,MA,Coastal Resort / Arts Colony,4,"$8,000–$10,000/mo","$924,000",4,2,4,4,9,8,7,7,9,4,8,5,Beach / Coastal,"Arts & Culture, Quiet & Residential, Resort / Golf","America's oldest continuous art colony and the ""birthplace of Modern American Theater"" — Provincetown sits at the very tip of Cape Cod where 73% of town land is protected as Cape Cod National Seashore. With a year-round population of just 3,656 (swelling past 60,000 in summer), this 3-mile-long peninsula village is the LGBTQ+ Welcoming capital of America (41% same-sex couples, highest in the nation), home to PAAM, the Provincetown Fine Arts Work Center, and a literary legacy spanning Tennessee Williams, Eugene O'Neill, and Norman Mailer. PeopleForBikes ranked Provincetown's network #1 in America. The trade-offs are severe: median single-family home $2.1M, no hospital within 50 miles, brutal seasonality, and Massachusetts's $2M estate tax cliff. This is an aesthetic and lifestyle commitment, not a value play.",7,3,1.0,1483,,4,"Outer Cape — coastal storms, surge, erosion, sea-level rise, isolation"
